textId,index,content
i_2c027957a20f,101,李さんは中国人です。
i_a6bcd1174ee2,101,森さんは学生ではありません。
i_7ee0c256f86d,101,林さんは日本人ですか。
i_0bd205ea2a9f,101,李さんはJC企画の社員です。
i_80d3da42b9a0,101,私は李です。小野さんですか。
i_d5147087aaec,101,はい，そうです。小野です。
i_d3208b1605b2,101,森さんは学生ですか。
i_78c806e0ef37,101,いいえ，学生ではありません。会社員です。
i_354a3ce94de1,101,吉田さんですか。
i_fd319ec32b55,101,いいえ，違います。森です。
i_647eba4d41c7,101,李さんはJC企画の社員ですか。
i_677390a77528,101,はい，そうです。
i_d1cc26a9a8c9,101,JC企画の小野さんですか。
i_60ad50a9c3b8,101,はい，小野です。李秀麗さんですか。
i_379755b40eb0,101,はい，李秀麗です。はじめまして。どうぞ宜しくお願いします。
i_3355a04d59a5,101,はじめまして，小野緑です。
i_574ac4e47d22,101,李さん，こんにちは。
i_6b7077a2961d,101,吉田さんですか。
i_05c030fe3b7a,101,いいえ，私は吉田じゃありません。森です。
i_4f492fb36ff8,101,あっ，森さんですか。どうもすみません。
i_88f8a224393d,101,いいえ，どうぞ宜しく。
i_251ebe0236b2,101,李秀麗です。こちらこそ，宜しくお願いします。
i_1d17227caffd,102,これは本です。
i_6f3f5435c85e,102,それは何ですか。
i_c767aeb95b17,102,あれはだれの傘ですか。
i_91d55edbb22c,102,このカメラはスミスさんのです。
i_0935d724d522,102,これはテレビですか。
i_11e09617a984,102,いいえ，それはテレビではありません。パソコンです。
i_985a05b2026e,102,それは何ですか。
i_201e5e7c4da0,102,これは日本語の本です。
i_59767c08104c,102,森さんのかばんはどれですか。
i_4b931eba787c,102,あのかばんです。
i_e90736cd085b,102,そのノートはだれのですか。
i_539e827aea19,102,わたしのです。
i_45150c7a9bc0,102,李さん，それは何ですか。
i_4e73db02bca4,102,これですか。家族の写真です。
i_c93fc4aed74e,102,この方はどなたですか。
i_e928ea41d039,102,私の母です。
