textId,index,content
i_5ff412b9a246,144,门厅那儿好像有人。
i_2e82ca8cbc4b,144,小野女士好像喜欢森先生。
i_13fd35efa582,144,下次的全社旅行好像是去韩国。
i_76e7e1019742,144,午饭吃多了。
i_6483bf745247,144,听说叶子女士通过了留学考试。
i_e30cf7a45da4,144,那太好了。
i_a65282c5e239,144,〈每天〉真热啊。这种天气要持续到什么时候啊。
i_05f6a69a0535,144,根据天气预报，好像要持续一段时间呢。
i_f89e8c6a4b67,144,新的游乐园好像很受欢迎啊。
i_78ba20238ace,144,是的。好像小马他们下个星期也要去。
i_5936a37dac3c,144,昨天晚上去的那家庭院式的啤酒店真不错呀。
i_8440ed594b30,144,是啊。不过（我）有点喝多了。
i_6ad621ffddff,144,森，“动力”好像很畅销啊。
i_56aaf0b1b755,144,是啊，托大家的福。首先在北京和上海上市，评价好像很不错。
i_9174ad780c4b,144,哪方面得到了（消费者）的认可？
i_8c24e7a0c7c2,144,首先是好喝，容器的图案设计似乎也很受欢迎。
i_06c3004e5d0b,144,设计很别致，似乎很有人气。
i_2a6b60a445b1,144,是的。另外，名称也好像得到认可了。
i_e34c75dc5e4f,144,太好了。
i_c971da4b0115,144,是啊。我们切实感受到名称和设计的重要性了。
i_02e494c2c821,144,因为反映还不错，所以今后好像准备在全国上市。
i_6ae0bf8767bd,144,销量究竟会怎么样，但愿成功。
i_8d759a4dd472,144,也许畅销得大家会笑得合不拢嘴呢。
i_94809150d773,144,真能那样敢情好了。
i_3fa6a301680d,144,CS公司，好像已经开始开发下一个产品了。
i_0231ec671563,144,真有干劲儿啊。
i_af95a37ba401,144,甜度适中，确实很好喝啊。
i_aa16fb8b43c0,144,另外，看来对身体也有好处。
