textId,index,content
i_29a832a28a29,106,{吉田|よしだ}さんは　[{来月|らいげつ}‖i_57d20834591a]　{中|ちゅう}{国|ごく}へ　[{行|い}きます‖i_68c922c7df46]。
i_75014e3620f3,106,{李|り}さんは　[{先月|せんげつ}‖i_7396c3f6dbe3]　[{北京|ぺキン}‖i_8b642a0a264f]から　{来|き}ました。
i_d3875ce7f7b2,106,{小野|おの}さんは　[{友達|ともだち}‖i_df65272e2b7e]と　{帰|かえ}りました。
i_1dc78297b03e,106,{森|もり}さんは　{東|とう}{京|きょう}から　[{広島|ひろしま}‖i_c10744d19ca2]まで　[{新幹線|しんかんせん}‖i_976a649b0de0]で　[{行|い}きます‖i_68c922c7df46]。
i_b185c3b22166,106,いつ　[アメリカ‖i_fb95af7f75bf]へ　[{行|い}きます‖i_68c922c7df46]か。
i_0cc0cee51389,106,{十月|じゅうがつ}に　[{行|い}きます‖i_68c922c7df46]。
i_6d3562090eaf,106,{駅|えき}へ　{何|なに}で　[{行|い}きます‖i_68c922c7df46]か。
i_1ddb6aed956f,106,{自転車|じてんしゃ}で　[{行|い}きます‖i_68c922c7df46]。
i_4cc9375f87d7,106,{誰|だれ}と　[{美術館|びじゅつかん}‖i_331e5416ba6f]へ　[{行|い}きます‖i_68c922c7df46]か。
i_f144c3fb2546,106,[{友達|ともだち}‖i_df65272e2b7e]と　[{行|い}きます‖i_68c922c7df46]。
i_1b529d097ac1,106,{大阪|おおさか}から　{上海|シャンハィ}まで　[{飛行機|ひこうき}‖i_6716b3265098]で　[{行|い}きます‖i_68c922c7df46]か。
i_7d5725d97fab,106,いいえ，[フェリー‖i_0f8d05cf2b6d]で　[{行|い}きます‖i_68c922c7df46]。
i_d9406fc759e4,106,{李|り}さん，{昨日|きのう}は　{何時|なんじ}に　[アパート‖i_d69642e3f8e0]へ　{帰|かえ}りましたか。
i_a162b5c0cf9a,106,ええと，[たしか‖i_163e5cabfb53]　{十一時半|じゅういちじはん}ごろです。
i_08c290a15801,106,{何|なに}で　{帰|かえ}りましたか。[タクシー‖i_8e1e5535afdd]ですか。
i_e06420fd8bcd,106,[{電車|でんしゃ}‖i_2d70e806e607]です。[{渋谷|しぶや}‖i_426ecf0422a3]まで　[{電車|でんしゃ}‖i_2d70e806e607]で　{行|い}きました。{駅|えき}から　[アパート‖i_d69642e3f8e0]まで　[{歩|ある}いて‖i_36aa01893344]　{帰|かえ}りました。
i_6cbde7d62719,106,{小野|おの}さんは？
i_de2d28961f3d,106,{私|わたし}も　[{電車|でんしゃ}‖i_2d70e806e607]です。{駅|えき}からは　[タクシー‖i_8e1e5535afdd]で [うち‖i_e58dcb2d2af8]へ　{帰|かえ}りました。
i_ac55711f11a8,106,{何時|なんじ}に　{帰|かえ}りましたか。
i_3a6846e51e4d,106,{十二時|じゅうにじ}ごろです。
i_60dfc4768a25,106,{森|もり}さん，[ゆうべ‖i_7fd1cbb60317]は　[まっすぐ‖i_c3a4ace76d71]　{帰|かえ}りましたか。
i_86d8daf583ad,106,いいえ，{課長|かちょう}と　{一緒|いっしょ}に　[{銀座|ぎんざ}‖i_95d81f23900d]へ　{行|い}きました。
i_8f2ec93941d3,106,えっ，[{銀座|ぎんざ}‖i_95d81f23900d]ですか？
i_85342daab91a,106,{何時|なんじ}に　[うち‖i_e58dcb2d2af8]へ　{帰|かえ}りましたか。
i_fb7209f4b988,106,[{夜中|よなか}‖i_4c884a70b2ca]の　{二時|にじ}です。
i_769bd976260e,106,{二時|にじ}ですか。それは　[お{疲|つか}れ{様|さま}でした‖i_d07af3474bb9]。
